,DOCS
2534,Produto péssimo emblema pontacabeça invertido contém avaria Já fiz contato loja através email respondeu Quero dinheiro volta assim como instruções
2536,Gostei Fone tem boa qualidade som fiquei horas 3h conectado celular pedir carregar Ainda não testei radio acredito ok
2538,comprar produto dizia havia estoque comprei produto ficou pendente pq não havia mais estoque Porém descontado cartão
2541,tapete muito bonito
2545,Comprei Iso recebi Nitro Hard
2552,Não recebi produto loja não respondeu reclamações duvidas
2557,Produto bom
2558,Loja maravilhosa
2559,já compro loja já muito tempo recomendo
2562,não recebi cortina ainda
2565,Amei Lindo
2567,bom
2570,Recebin antes prazo ainda ano compa novo
2572,esperando segunda parte encomenda só recebi parte pedido continuo aguardo Obrigada
2573,Muito bom produto
2575,Otimos produtos otima entrega só elogios
2576,Recomendo compra loja
2577,gostei muito entregaram antes prazo deu
2578,super recomendo
2579,Super recomendo
2580,Achei ótimo só achei tecido misto fino geral bom custo benefício
2582,preço bom entrega prazo
2583,Tentei obter resposta atraso pedido diretamente fornecedor não obtive resposta Precisei entrar contato lannister intrrmediar
2595,caixa veio bem amassada parecia produto usado dvds chegou caixa quebrada borda vieram lacrados tinha brinde
2596,ainda não testei produto
2597,Produto veio tempo esperado
2599,Comprei pelúcia Creeper Minecraft qualidade loja liga SAC não consegue falar
2600,Comprei cartuchos recebi apenas unidades prazo entrega hoje tentando entrar contato solução sucesso
2601,Não recebi até hoje produto depois mais meses compra
2602,Ótimo
2610,Bom Compraria novo
2613,cliente baratheon adorooooooo realmente recomendo
2620,Falta respeito resumi sentimentos relação
2625,Produto aparentemente bom
2627,Simplesmente não recebi produto
2628,Gostei muito recomento comprar
2631,Comprei pendentesQuando fazer retirada Correios só tinha aguardado posição empresa
2633,Satisfeito
2637,produto bom memory foam coube Macbook air pouquinho folga bolso externo bem espaçoso cabe tranquilidade cabo alimentação notebook prova dágua
2639,Produto até hoje unidade correio Cajamar não chegou casa Estraviou
2643,quadros lindos bem acabados Amei
2645,Produto não entregue
2647,Falta receber protetor porta jogos cama solteiro
2649,cimaobrigada
2657,Não veio produto correto solicitei
2662,Produto qualidade
2663,Excelente
2664,Recebi produto diferente comprei Abri reclamação tem dias continuo aguardando solução
2665,Chegou antes tempo previsto lindo perfeito relógio amiga decretação adotar
2667,produtos veio errado
2684,Produto incompleto
2686,encomenda chegou antes prazo estipulado produto veio desacordo pedido invés vir cartucho preto cartuchu color vieram doi preto ag
2687,muito rápido compra pagamento chegada Só faltou próximo produto deixaram desejar comprei site asessei loja vendedor não explicou
2688,Entregas corretas Antes prazo estimado Melhor preço internet Amo comprar lannistertanto site quanto lojas fisicas Sempre tem promoções Muito obrigada muito satisfeita
2695,Entrega prazo produto qualidade filhas amaram parabéns loja
2697,Produto dentro conformes entrega rápida
2700,Entrega prazo produto qualidade preço justo Recomendo
2705,Produto bom correspondente informações fornecidas gostei mesmo aentrega super rapida apesar erro correio
2709,encaminhado super rapido bem embalado
2715,descrição produto indicado mesmo possui tecido superior inferior algodão verdade algodão poliéster Propaganda enganosa
2718,Arranhador veio lascas base conta embalagem inadequada Sugerese próximos enviados caixa não apenas embalados papel
2723,Lençol ótima qualidade Cor pouco mais clara foto
2725,Satisfação total produto qualidade prazo entrega conforme solicitado programado
2728,Já solicitei troca até momento Enviaram produto errado agora informam troca não pode feita
2729,Comprei esperei esperei até agora Ainda tenho esperança sabe houve problema venha resolvido
2731,comprei celular smartphone não chegou não recomendo comprar loja targaryen lannister não chegou produto comprei data07062017 chegar dia
2732,produto excelente
2735,Chegou dentro prazo ótima qualidade veio pequeno arranhão mais recomendo
2736,Entrega prazo correto produto perfeito estado
2739,Recebi produto antes menos prazo entrega Produto ótima qualidade
2740,Produto correto entregue prazo
2741,Satisfeito
2743,produto muito bom recomendaria
2746,problema não loja mais sim produto tem deixar carregando dia inteiro ouvir meia hora música não funciona enquanto carrega desliga sozinho
2751,Chegou muito rápido preço bom só pontas massagem achei pouco fracas tiver cuidado dura
2752,ocorrência dentro programado
2753,forma descrita chegou bem antes prazo
2754,Muito bom já tinha comprado antes recomendo site seguro maior satisfação clientes
2756,Gostei muito fiquei dúvida começo agora compro novamente recomendo produto entregue antes prazo 👏👏👏👏
2757,Deveria melhorar prazo Demora muito tempo entregar mercadoria produto permaneceu dias parado já podia ter encaminhado
2758,não obtive retorno até momento
2764,Material entregue pacote papel kraftrecebi mercadoria pacote aberto rasgadoEste tipo empacotamento nao recomendado correios
2765,Só tive problema correios chegou prazo chegado bem antesFalando produto muito satisfeito superou minhaa expectativatargaryen baratheon tão Parabéns
2767,Excelente produto muito lindo amei
2772,site seguro
2775,Amei produto entrega bem antes data prevista
2776,compra entrega
2780,recebi produto corretamente
2781,Satisfeito
2782,Entrega super rápida recomendo
2786,Excelente produto
2787,Excelente atendimento rapidez execução entrega
2790,Ótimo produto super recomendo
2794,produto atraso
2796,Muito boa rápida eficiente
2797,Produto muito bonito excelente qualidade melhor recebi muito antes prazo estabelecido
2802,compro stark nunca precisei trocar sempre chega antes certinho amo comprar stark lojas entregam
2803,aguardando espero chegue logo
2804,Veio tranquilo dentro prazo Recomendo
2805,lannister nota
2807,capa escolhi não tinha comprado como deu sofá imaginei dar muito trabalho trocar fiquei errada mesmo vez acontece
2810,Fiquei muito feliz compra produtos chegaram bem antes data prevista fiquei até surpresa mercadoria bem embalada certinho Amei super recomendo
2821,Produto muito bom
2823,mostroario produto
2828,relógio defeito efetuo troca mesmo reparo
2830,achei meio fraco conforme descrito servir proposto
2833,Amo comprar coptaime anos compro sempre ótimos produtos entega sempre até antes praso parabéns melhor site conheço
2834,Muito bom Ferro fio
2837,problema Correios continua serviço vergonhoso
2838,Couro sintético qualidade bem razoável Produto cumpre papel basicamente dar proteção tablet não tem qualidade capas Targus encontra ML exemplo
2839,Até momento não recebi
2840,Produto chegou antes data previstaótimo atendimento entrega recomendarei família amigos
2841,Produto bom esperava melhor
2842,decepção
2844,Chegou rápidinho perfeito estado Recomendo
2845,Paguei ainda não recebi certeza não receberei simples controle remoto Péssimo serviço Loja não recomendada Paguei vista data compra
2850,Muito bom rápido entrega
2852,produto perfeito
2854,Amei tesoura corte preciso recomendo tesoura qualidade entrega rapida
2855,colcha comprei vinha peças só veio peças colcha porta travesseiroentão caso ficou faltando porta travesseiroentão aguardo resposta vendedor
2864,PRODUTO MUITO BONITO
2865,Produto otima qualidade ja compro lannister faz tempo nunca decepcionei
2867,Maravilha super contente chegou antes prazo acordo como comprei perfeito
2873,Recomendo produto qualidade
2876,Gosto muito compra Lojas lannister
2878,Preço justo produto qualidade
2882,Não entregaram prazo já mais dias mísera tesoura tive comprar aqui Pq empresa não comprometeu manda email tranquilizar
2887,MUITO MAU ACABADO NÃO RECOMENDO
2888,Paguei comprei
2889,funcione pilhas grandes funciona muito bem Recomendo
2891,Entregas separadasainda não chegou pedido
2898,PRODUTO VEIO COM VENCIMENTO DEZEMBRO COMPREI COM VENCIMENTO DE ANOS
2899,Sempre atendendo maior responsabilidade site adorooo
2901,Produto entregue bem acondicionado dentro prazo
2910,entregaram tapete errado aguardando providencias
2911,bom
2912,Produto ótima qualidade fácil instalação entrega rápida
2913,produto não entregue site correios consta entregue aguardando resposta
2918,recomendo
2919,PRODUTO NÃO ENTREGUE COM MUITO ATRASO SEM PREVISÃO PRECISO DE RETORNO COM URGENCIA
2921,Ainda não utilizei produto então não posso opinar mesmo Contudo recomendo loja recebi produto forma extremamente rápida
2923,produto chegou prazo intacto não funcionaColoquei aspirador carro tomada ascendedor cigarros aparelho já conectado tomada não funcionaembora 12v
2924,RECEBI ANTES PRAZO PRODUTO BEM EMBALADO
2925,Muito boa entrega tempo valeu pena
2926,segunda vez tentei comprar loja pedido não entregue prazo
2929,bom
2933,recomendo pessoas
2936,Produto excelente preço melhor ainda entrega prazo Perfeito
2937,Produto entregue antes prazo Muito bem embalado parabéns equipe
2938,Lojista enviou produto própria embalagem virada avesso apresentação muito grosseira dar presente não tive como fazêlo Tampa levemente amassada
2940,Ainda não feito tosa mais principio muito boa
2943,Recebi apenas unidades previstas Requeiro verificação acerto situação
2947,Excelente
2950,Mercadoria chegou antes prazonão tive menor problema cliente satisfeita
2955,ADOREI PRODUTO
2956,veio faltando itens
2957,Já recebi só LG k10 demorando espera mesmo comprei antes pelicula
2960,nota fiscal emitida dia deram prazo entrega Até agora produto não chegou
2961,LOJA EXCELENTE ANOS COMPRO AQUI SÓ TIVE TRANSTORNO NA COMPRA COMPREI TAMBÉM PAINEL NA FINALIZAÇÃO COMPRA TAVA PARCELADO JUNTO FINAL PARCELOU SEPARADO
2962,ocorreu beleza só embalagem inadequada não ofereceu proteção item comprado possuiu CD chegou quebrado
2963,entrega prazoO relógio muito bonito só pensei maior mais fora não tenho reclamar
2964,Atendimento perfeito Produto chegou antes previsto
2966,muito obrigado
2967,site Pineng consta relação códigos produtos falsificados comprar falsificado não compraria internet sim camelô lojinha
2973,Cadeira chegou perfeito estado Muito boa
2974,Ótimo produto chegou bem rápido
2975,produto conforme anunciado entrega muito rapida
2976,recomendo
2979,farol como preto veio cromado
2980,Gostei produto qualidade muito boa entrega dentro prazo
2981,Tapete muito fofinho recomendo
2982,amei
2988,Gostei veio mola apoio folhas quebrada resto perfeita
2997,Muito lindas boa qualidade ótimo preço
2999,Muito bom mesmo
3001,aberto chamado site ontem dia produto recebido diferente foto anuncio
3002,muito chateada n entregue não deram satisfação falta respeito comigoMinha filha indo p escola mochila Super chateada
3008,Comprei toalhas Karsten recebi jogo tolhas pessima qualidade preciso devolver mercadoria
3009,Gostei produto
3010,Bom
3012,Parabéns Produto entrega Nota
3018,Boa qualidade chegou tempo previsto certinho
3023,Adoro comprar lojas lannister produtos ótima qualidade
3024,pedi unidades mesmo produto só veio unidade retorno
3025,Ainda não recebi produto Apesar greve caminhoneiros produtos referentes pedido já entregues preciso loja verifique junto transportadora
3027,Produto não mesmo mostrado fone não auricular tem cerca embalagem veio danificada rachada faltando pedaço vendedor não retorna pedido devolução ressarcimento
3029,Gostei produto bacano só deveria ter tamanhos raladores diferentes
3031,problemas pedido parceiro não responde envia pedido errado não retorna
3033,ainda nao recebi produto
3034,Produto muito bom simples montar super prático rodinhas
3039,COMPREI JOGOS DE LENCOIS DE CETIM COLCHA ATÉ AGORA SÓ RECEBI JOGO DE LENCOL COR COBRE HOUVE
3043,quase mês feito pedido relógio pago via boleem to até agora Mandei emails deram satisfação
3046,produto não chegou até hoje preciso sábado falta entrega precisa feita até sexta feira dia
3054,peças comprei não veioveio caixinha vaziamas veio
3055,Comprei paguei produto ha mais dias ainda não recebi mesmo
3060,Achei frete meio caro produto leve capa atrapalha pouco uso sensor biometrico dificil retirar ultima camada pelicula aplicação
3062,entregou muito antes prazo estimado
3063,Entrega rápida só lixadeira mandaram diferente comprei colocaram bilhete dizendo modelo enviaram mais atual
3065,produto entregue antes prazo estipulado chegou perfeito estado bem embalado bem satisfeita recomendo
3067,Bom
3070,Ótimo
3071,Produto original conforme anúncio
3072,Excelente produto Recomendo
3076,Chegou antes prazo
3082,Excelente
3083,Cancelaram compra Não sei motivo
3090,esperado
3093,Comprei produto enviaram similar perguntar queria troca
3094,Adorei
3095,Produto boa qualidade simples usar confortável ergonômico
3099,Comprei relogio veio mandei msgs responde retorna Vendi amiga não perder dinheiro Não compreeem Mandam errado não respondem clientes
3102,Apesar greve caminhoneiros não houve muito atraso
3103,Produto original lacrado Nota
3107,Muito produto Apenas veio trincado parte plástica aonde emenda bem
3108,Chegou bem antes previsto dias aprovação pedido Muito bom
3111,NAKJSK
3112,tapete veio correto dobrado Coloquei esticado ver desamassar não desamasse devolverei dias
3114,Ótimo vendedor recomendo
3115,Recebi produto diferente comprei Comprei luminária branca fria entregaram neutra Tratase produto instalação cliente perder prazo entrega serviço
3116,muito satisfeita compra produto eficácia baratheon
3119,descrição dizia feito gelmas não
3123,Excelente produto
3124,Nunca vi demorar tanto entrega internet vez
3125,Super recomendo chegou bem antes prazo
3126,Gostei muito produto tamanho qualidadeporem cor interna luminária não conforme descrito não gostei cor
3130,Produto qualidade
3131,ja faz fiz oedido conjunto potes cozinha branco bolas pretasme agora não recebiquero saber providençia empresa ira tomar
3134,Adorei
3136,Produto muito chegou bem antes prazo estipulado recomendo
3139,Achei blackout viria tecido
3141,Ótima lojasempre opção compras
3144,Apesar ter demorado mais esperado recomendo loja produto chegou como esperado creio deu motivos correios
3147,gostei muito prazo Entrega
3151,Sinceramente comprei navalha kit tesouras fio navalha marcar lista veio errado rastreamento produto indica veio kit tesouras invés venho navalha queria explica
3156,Carregador diferente foto paralelo
3157,Produto lindode ótima qualidadeA bolsa bem grande
3158,caixa veio furada Fiquei preocupado integridade produto normal
3160,entregue prazo problemas
3162,produto oferecido anúncio entregue difere forma altera funcionamento
3164,Chegou antes prazo parabéns
3165,bom tem empresa séria brasil temos confiar brasil tem jeito sim como empresas tipo lannister orgulhamos brasileiro recomendo
3166,Lojas americana cumpre vende produto chegou antes prazo Obrigado
3170,Otima
3171,Recebi antes prazo
3172,LIVRO SUPER BEM EMBALADO CAPRICHOSAMENTE BEM PROTEGIDO DE PROBLEMA NA VIAGEM SÓ DEMOROU ENTREGAR CONTA GREVE CORREIOS SITE stark POSSÍVEL RASTREAR CERTINHO
3175,Amei produto exatamente como descrito anúncio perfeito bem trabalho detalhes enfim Amei
3176,adorei precisava deixa hambiente mais elegante produto boa qualidade
3178,Recomendo
3179,Fiz compra pedido não chegou dar como entregue
3181,Produto ótimo
3183,loja confiável já havia comprado vez
3186,Ridículo sistema trabalho loja cobram frete produto não entregam endereço Exijo reembolso valores pagos
3190,Recebi pedido corretamente mesmo não veio acompanhado nota fisca
3199,Infelizmente cartucho não deu impressora canon mg3510
3200,Vcs deveriam mandar manual português recomendo
3205,chegou tempo veio ok
3208,excelente
3209,PRODUTOS VIERAM MUITO BEM EMBALADOS SÃO EXATEMENTE NAS IMAGENS PERFEITOS
3210,Otimo
3211,Ainda não recebi produto orientação fazer loja
3212,realmente surpreendi rapidez entrega endereço indicado super recomendo loja
3213,Muito bom
3215,Ainda aguardando produto
3217,produto não entregue tento falar empresa lannister targaryene só instabilidade página Nem mesmo cancelar compra Total desrespeito cliente
3218,Super bom colchão Superou expectativas Entrega super rápida
3219,gente fiz pedido bebedouro so entregue tem entregue
3222,muito bom comprar voces recebi antes prazo
3223,Comprei tapete 2X25 recebi 2X15 lannister não há opcao troca produto errado só ressarcir cartão trocar vale site havia ainda anúncio comprei
3227,OK
3228,case tablet veio perfeita suporte tablet veio defeito encaixe alem produto muito frágil segurar tablet caro entrega muito antes prazo loja impecável
3231,Ainda não recebi produto
3239,FUNKO super valeu pena
3241,como posso avaliar produto só posso avaliar tempo entrega sinal atrasado
3243,produto cumpre promete achei qualidade inferior capa comprei loja alças prender encosto banco poderiam mais resistentes
3247,produto muito bom material resistente
3250,experiencia compras Mercado acho entrega via Correios poeria mais rápidapostagem
3252,tenha havido problemas entrega correios produto chegou
3256,prazo enorme não entregam
3258,ok ainda não testei cartucho tintas
3259,Nota
3260,Entrega rápida produto qualidade Recomendo
3261,Perto vencer validade N informado forma clara anúncio Claro objetivo enganar consumidor
3262,Maior imaginava muito moderno lindo deixar linda decoração sala
3264,Produto entregue prazo certinho Recomendo
3265,produto inferior esperado Desejo devolve lo
3268,Fiz pedido paguei mesmo dia valor produto até hoje mais mês não chegou produto residência ter acionar órgão competente
3269,Comprei kits recebi 1a pessoa separou achou shampu bálsamo kit contém shampu bálsamo só recebi
3271,super agil entraga
3274,Produto venceu prazo entrega ontem
3277,não veio cor fiz compra
3278,Quero cancelar pedido
3279,Luminária muito bonita atendeu expectativa Chegou rapidinho
3280,Até momento não recebi encomendasem confiança
3285,produto chegou bem antes prazo estimado relação qualidade esperava pouco melhor muito bonita
3286,Produto atendeu expectativas
3288,efetuar rastreio consta trânsito dias
3291,pedido chegou tempo previstoO produto pouco inferior esperavamas creio usarei dia dia
3293,Excelente produto
3294,ótimo produto combina chegou certinho dentro prazo
3300,Ótimo produto Entrega antes previsto
3301,Mercadorias bem embaladas entregues prazo estabelecido
3305,Entrega rápida
3310,Produto ótimo acabamento recomendado
3314,Não posso avaliar não sei oque houve
3319,Já passou prazo entrega ainda não recebi produto
3320,so gostaria ter recebido caixinha melhor mais bonita guardar cordao
3322,Comprei há muito tempo já Comprei mesmo tempo sei lá enviaram filtros separados Chegou apenas não chegou até hoje ainda não obtive resposta loja
3324,entregue antes prazo continua ótimo atendimento Abraços
3326,
3328,contente produto recebi até antes prazo
3331,Recomendo amigo
3332,Só não consegui achar descrição produto site Esperava bolsas maiores realmente assim atenderiam necessidade
3333,COmprei 15x13 mandaram 13x18 Inútil usei ferramenta stark entrar contato até agora respondeu
3334,Satisfeita
3335,Mais menos não gostei
3336,entrega antes prazo produto boa qualidade
3337,Ótimo
3339,Produto não funciona aparentemente produto não original
3341,ruin
3342,produto comprei propaganda enganoza suporte não suporta peso cellular fica caindo chão carro gostaria saber como fico situação Antonio
3344,Joia
3346,Produto chegou antes prazo Recomendo
3347,bonecas veio chupeta
3348,comprei panelas veio apenas
3349,Nem nota emitida Cansei solicitei stark cancelamento devolução cupom reais Recebi cupom valor total Serei obrigado comprar não preciso Lixo
3351,super recomendo produtos maravilhoso
3353,Já protocolizada junto stark pedido cancelamento compra aguardando resposta responsável
3355,Marerial qualidade tamando Ficou perfeito
3357,
3358,Entrega prazo produto correto bem embalado bom estado
3359,Sempre comprei site nunca tive problema tanto prazo como produto
3360,pedido não chegou quantidade correta Faltou Suporte Peito Cinta Peitoral Camera Gopro Go Pro faltou Adaptador Conector P2 Macho Femea Estereo Microfone
3361,Decepcionado espelho baixa qualidade
3362,Chegou muito antes prazo estimado
3364,Gostei muito
3365,Funcionou perfeito
3368,já quase mês fiz pedido produto ainda não chegou
3369,produto não boa qualidade resultado não esperado Acho perdi dinheiro
3370,Até momento não recebi produto
3373,Muito bom produto
3375,Toner não funciona Impressão péssima qualidade Quase não dá ver impressão
3376,amei veio certinho chegou bem rápido
3377,produto bom custo benefício só tive pedir troca conta tamanho descrito errado correto AxLxP contando rodas só mala profund
3378,Entrega muito rápida
3380,
3387,Muito bonito Satisfeita material
3389,Muito bom
3391,conforme esperado entrega muito rápida bem antes prazo
3394,bolsa caçamba veio Ford ranger invés frontier
3395,Entrega prazo
3400,devolver produto
3401,Chegou até mesmo antes prazo entrega muito bom produto recomendo
3404,Entrega super rápida antes prazo
3406,fiquei satisfeito quando comprei não gostei prazo entrega mais ok chegou bem antes
3408,Não comprem película Não cola Veio ressecada cola tipo atrapalha touch screen
3410,produto chegou super rápido veio
3412,Recomendo
3413,Ainda nao chegou
3414,ótimo custo beneficio Recomendo
3415,produto não entregue houve necessidade retirar correios
3417,Ainda aguardando
3419,Ótimo produto entrega rápida antes prazo
3420,fronhas chegaram até antes prazo previsto Adorei mercadoria cumpre promete
3421,Chegou direitinho data correta
3422,Ainda não testei embalagem impecável separado certinho vem dentro bolsa compartimentada agradou muito
3423,entregue apenas itens não
3426,transcorreu conforme acertado Gostaria até adquirir não consta tela capas tamanho encomenda enviando medida som mesa viável
3427,OTIMO PRODUTO
3428,Produto entregue antes prazo boa qualidade problema
3429,Ótima qualidade preço maravilhoso Chegou bem antes prazo super recomendo
3431,PRODUTO FOI ENTREGUE EM LOCAL ERRADO CONSEGUI RECEBER AGUARDO ENTRAGA MÁQUINA DE LAVAR ENDEREÇO CORRETO RUA GENERAL IVAN RAPOSO AP BARRA TIJUCA RIO DE JANEIRO
3432,Recomendo
3433,torcer produto correto celular comprei capa não chegou ainda Claramente parceiros mais confiáveis
3434,Entrega prazo produto perfeitas condições
3437,Chegou dias muito bom
3439,Superou
3440,valeu pena entrega antes prazo super recomendo
3441,vbvbsgfbsbfs
3444,Comprei Kit pratos esmaltados pratos vieram amassados
3448,fone chegou perfeito estado muito rápido
3450,Produto não parece foto
3451,Produto muito bom Excelente qualidade entrega prazo
3452,entrega produto super recomendo
3462,Muito bom como mostra descricao
3465,Gostei recomendo loja
3469,Gostei muito Linda Ainda não usei não posso avaliar mantem gelado legal
3472,equipamento vendido bem inferior comprei Pelas fotos não tive noção diferença achando tratava oportunidade preço melhor não equipamento inferior
3473,Recomendo bom produto
3481,Comprei lâmpadas veio só
3492,Recebi antes prazo recomendo loja sim
3494,Bom produto entregue prazo
3496,produto entregue dentro prazo porem comprados cartucho impressora veio separado site só havia código rastreio não consegui atendimento America
3504,Produto qualidade pontualidade fundamental recomendo
3505,Muito bonita boa qualidade
3508,Simplesmente horrível produto
3509,gostei muito produto entrega antes prazo recomendaria amigos
3510,Produto não atendeu expectativas
3511,Produto ok cor bem mais clara mostra foto
3514,Só acho devia enviar logo produto sempre compro mais vez produto ainda não chegou
3518,ótimo
3519,Produto entregue parcialmente não recebi comprei
3520,Recebi produto abrir produto danificado pior grande dificuldade reclamar dias resposta
3521,Ótima qualidade
3522,Produto enviado falaificado
3526,Gostei muito recomendo loja produto Grato
3529,Super satisfeita recebi antes prazo
3530,Entrega super rápida dia qualidade produto simplismente fantástica
3531,Parabéns
3532,pior compra vida comprei dia receber dia até hoje não recebi ligou dar satisfação pior comprar vida
3535,Primeiramente parabéns loja targaryen entregou produto menos semana perfeito estado produtos acima esperado muito bom mesmo super recomendo
3538,produto chegou bem antes prazo estipuladosuper recomendo voltar comprar novamente
3545,Gostei capa Veio estampa Tempo capinha grossa Muito bom
3546,Quero dinheiro volta
3549,Tive retirar correio tivesse informada não entregaria casa não feito pedido
3551,mesmo dia usei já encheu bolinhas fino
3557,Veio totalmente errado material falado site não e5 mesmo porcaria queria trocar não consegui
3561,Ótima
3562,Entrega muito rápida produto qualidade além lindo
3569,produto ainda não entregue Já realizei compras mais recentes lannister porem i produto pedido ainda não entregue
3570,Produto chegou dentro prazo especificado loja vendedora perfeito estado avaria mesmos
3572,Recebi muito antes prazo excelente
3574,muito boa
3577,Entrega rápida
3579,Chegou bem antes prazo super bem embalado vale pena comprar
3582,Entrega rápida1 semana antes previsto
3585,Comprei produtos devido problema técnico site lannister ainda não recebi central atendimento deixa desejar
3586,Produto ótimo
3589,Recomendo pontual
3594,satisfeito produto prazo entrega cumprido recomendo
3600,comprei produto havia estoque logo depois recebi informação não havia estoque Aguardo providencias resposta como trocar produto dinheiro volta
3601,muito bom entregue
3604,Entrega muito rápidaParabéns
3607,Produto correspondeu discrições
3608,Muito boa
3609,comprei pendente antes emitorem NF postarem cancelei achei agradava melhor mesmo assim recebi produto Acredito devia ter controle melhor
3612,produto superou expectativas Parabéns qualidade produto
3615,Linda peças ficou maravilha
3616,Boa tarde comprei produto porem veio Gostaria trocar mesmo
3617,produto demorou cerca meses chegar Além produto não contém medidas divulgadas anúncio Não recomendo
3623,so recebi rolo falta rolo mm ainda nao chegou Catia
3624,Produto ainda não entregue deixo opinião aqui como observação até expiração data
3625,cumprimento prazo ocorreu qualidade produto péssima produto não vem embalagem original Philips apresenta diferenças lamina original uso demonstrouse pe
3628,Comprei só veio Espero resposta só pedido veio errado Aguardo
3630,Confortavel
3633,Entrega produto ok recomendo
3637,Produto péssima qualidade Além vir errado Pedi cor preta veio branca Pedi 200x veio Veio ilhós soltos blackout todoamassado quero dinheiro volta
3640,Frete caro
3643,Não entregaram
3645,produto falsificado Não veio manual certificado garantia Orient
3646,pouco pequenas pol desconhecimento produtos mostram vem tem fio corte muito bom bastante usada estabelecimento Recomendo
3648,Produto exatamente igual site
3649,Achei produto muito leve relação modelos antigos completamente feito plástico entendase ducha corona mais potente
3650,Super satisfeita compra
3651,Produto qualidade
3652,Produto diferente pedido até agora resposta substituição
3653,Ótimo
3654,ótimo Produto ótimo Entrega antes prazo
3655,muito bom
3656,bom recomendo
3658,Despacho entrega rápida
3659,Comprei pneus paguei pneus pedido efetuado pago pneus Recebi casa nota fiscal referente pneus só pneu dentro embalagem Aguardo posicionamento respeito
3660,Recomendo comprarem
3661,pedido feito vezes não entregueA vez número casa errado segunda nÃo recebi justificativa
3662,produto muito ruim moldagem fraca
3665,entregue apenas produtos comprei falta mais entregue codigo rastrear diz ja encerrado
3667,Produto não entregue
3670,Além emitir nota fiscal devolução dinheiro caso cancelamento compra eternidade Já faz semanas solicitei cancelamento
3672,Comprei recibie
3674,Gostei recomendo confiança
3676,Demorou pouco entrega mais avisada mais produto chegou gostei
3678,produto ótimo esperava
3681,não recebi produto não obtive resposta ainda
3683,relógio lindo correspondeu expectativas Só hora fazer ajustes achei bem difícil Precisei ir relojoaria ajustarem Hehehehehe
3685,Relógio muito bonito preciso recursos
3686,esperando até agora entrega produto nota fiscal não faturada ainda já faz mais mês data compra esperando informação lannister compra
3690,Até momento não houve recebimento produto
3691,Excelente Entrega dentro prazo Produto muito bem embalado
3693,Chegou antes prazo mercadoria excelente qualidade
3697,Transcorreu bem vendedor não mandou instruções cura
3698,Entregaram produto antes prazo excelente
3703,Deveria entregar residência como combinado hora compra Mais infelizmente enganam povo temos perder hora trabalho ir retirar mercadoria Ag correios
3706,Incrível trabalho feita produto entregue muito rápido semana já casa recomendo vale pena
3707,bom super recomendo
3711,Produto entregue prazo combinado
3712,Gostei produto adquirido
3720,dificuldade fazer contato loja via telefone
3722,copo não exatamente como foto apesar avisar plástico semi transparente também fala preta contrário branca
3723,muito bom
3726,recomendo
3727,Não gostei não recomendo som baixo logo início já não funcionou lados fone Horrível
3729,Luz bem forte relógio não perde hora queda Energia teste 12h
3731,Fiquei muito feliz produto prazo entrega
3732,Loja muito boa produto entregue antes prazo
3733,BOA COMPRA
3739,Bom
3741,Produto veio lacre violado aparentemente parece não usado lacre violado não passa segurança Ainda mais quando gente compra dar presente caso
3742,Ótima cortina Qualidade excelente recomendo Amei cortina
3743,PRODUTO BOM ENTREGA ANTES PRAZO PREVISTO
3746,Satisfeito produto perfeitamente procurava Quanto entrega como sempre rápida
3747,Ótimo produto original qualidade recomendo loja parceira lannister
3748,Recebi produto antes data previstasuper recomendo loja
3749,Produto bom entrega antecipada Parabéns
3750,número pantufa menor numeração sapatos normais
3752,entregue muiti antes prazo surpreendeu rapudez
3754,produto entregue antes prazo
3762,bonecos chegou defeito
3764,so demorou pouco mais valeu
3765,até presente momento não entregue
3766,Produto chegou mais rápido esperava perfeito recomendo
3767,Muito boa compra
3771,Gostei muito produto rapidez entrega
3772,Nao recebi produto
3773,sempre compro òtimo super recomendo
3778,produto esquenta bastante instruções instalação inglês tive dificuldades instalação
3779,Adorei
3780,muito bom comprar loja produto chegou 5dias úteis
3785,Chegou não só conta apesar dentro prazo entrega demorou rastreio só consegue ligar lannister saber motivo não dei menos estrelas
3788,Pedi cadeiras veio somente ainda faltando peça quero devolver
3791,Previsto chegar já mãos Apesar achar jogam prazo lá realmente rápido pedido entrega exatamente dias
3793,só nao dou estrelas frete muito caro
3795,site produto forma quando enviaram enviaram cor errada nao tinha opções cores anuncio produto branco
3800,pessoalmente produto características diferente tom
3801,Decepcionante lannister deveria fazer empresa ligou hoje perguntando tinha recebido Disse não ficaram retornar Não retornaram rastreabilidade
3802,Entrega dentro prazo estabelecido Produto ótimas condiçõesProduto excelente
3805,Produto veio peça importante prender pendente teto Tive virar conseguir peça similar não mesma apresentada foto anúncio Considero Propaganda Enganosa
3809,Produto atendeu expectativas cumpre prometido
3813,Entrega rápida bom custo benefício Relógio automático Winner excelente Pena bússola relógio Oulm só enfeite
3814,Já tive Skullcandy mesmo modelo qualidade inigualável detalhes acabamento perfeitos experiência sonora agradável potente principalmente destaque graveseste não Skull
3816,Revoltada compro sempre vez decepção Não recebi produto Já decpcionada entrega agora passou limites
3817,Boa
3819,Impossível avaliar produto mãos
3821,Chegou antes prazo gostei mais esperava capa muito boa gostei excelente
3826,Apenas não recebi produto
3831,Lindo Amei
3840,não recebi mercadoria ainda
3843,Recomendo lugar seguro compras
